id,class_label,definition,synonyms,parent_classes,object_properties,object_properties_readable,object_properties_simplified
HP_0033343,Mucoid diarrhea,"Passage of an increased number of stools containing mucus, a thick fluid substance secreted by mucous membranes.",Mucous diarrhea | Mucous diarrhoea,Diarrhea (HP_0002014),[],,
HP_0033399,Persistent fever,"Fever that persists longer than expected for an acute infectious disease. No precise threshold exists, and the clinical interpretation of fever is context-dependent, but as a rule of thumb, this term refers to fever that persists longer than 2-3 weeks.",,Fever (HP_0001945),[],,
HP_0033400,Acute abdomen,"A sudden onset of abdominal pain with associated nausea or vomiting. The acute abdomen may be caused by an infection, inflammation, vascular occlusion, or obstruction.",Acute abdominal pain,Abdominal pain (HP_0002027),[],,
HP_0033630,Brain fog,"Brain fog is a type of transient cognitive dysfunction that comprises a constellation of symptoms that impair intellectual functioning to a level that interferes with daily activities, commonly including forgetfulness, mental slowness, difficulty thinking or focusing, a perceived slowing of mental processing speed, inability to find the right words, a sensation that the mind went blank or is ""cloudy"". Brain fog tends to recur and may be triggered by factors such as physical fatigue, lack of sleep, and prolonged standing or may appear to occur spontaneously.",Mental clouding | Mental fatigue | Mental fog,Cognitive impairment (HP_0100543),[],,
HP_0034267,Pelvic pain,"Pain perceived in the area of the pelvis, the lower part of the abdomen located between the hip bones.",Pain in the pelvis,Pain (HP_0012531),[],,
HP_0034310,Post-vaccination yellow fever,Infection with the yellow fever virus of the live-attenuated vaccine.,Postvaccination yellow fever,Infection following live vaccination (HP_0020085),[],,
HP_0034477,Perihepatic adhesions,Abnormal union of the membranous surfaces of the liver capsule and the parietal peritoneum due to inflammation or injury. Adhesions may be visualized by laparoscopy and may have a violin string appearance.,Peri-hepatic adhesions,Abnormal peritoneum morphology (HP_0002585),[],,
HP_0100311,Cerebral ventricular adhesions,Bands of scar-like tissue that have formed within a cerebral ventricle.,,Abnormal cerebral ventricle morphology (HP_0002118),[],,
HP_0100518,Dysuria,Painful or difficult urination.,Painful or difficult urination | Dull burning sensation with urination,Functional abnormality of the bladder (HP_0000009),[],,
HP_0100607,Dysmenorrhea,Pain during menstruation that interferes with daily activities.,Painful menstruation,Abnormality of the menstrual cycle (HP_0000140) | Pain (HP_0012531),[],,
HP_6000452,Gallbladder adhesions,Strands of scar tissue bands of scar tissue that form an abnormal connection between the gallbladder and another abdominal structure. Adhesions can form followiing gallbladder inflammation (cholecystitis).,,Abnormal gallbladder morphology (HP_0012437),[],,
HP_6000631,Unilocular ovarian cyst,An ovarian cyst without septa and a solid component.,,Ovarian cyst (HP_0000138),[],,
HP_6000672,Ovarian cystadenoma,"A common, benign ovarian tumor that carries a good prognosis. The two most frequent types of cystadenomas are serous and mucinous cystadenomas whereas endometrioid and clear cell cystadenomas are rare.",,Ovarian neoplasm (HP_0100615),[],,
HP:0002020,Gastroesophageal reflux,A condition in which the stomach contents leak backwards from the stomach into the esophagus through the lower esophageal sphincter.,Acid reflux | Acid reflux disease | GERD | GORD | Gastro-esophageal reflux | Gastro-oesophageal reflux | Gastroesophageal reflux disease | Heartburn,Abnormal esophagus physiology (HP_0025270),[],,
HP:0030839,Knee pain,"An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the knee.",Knee pain,Lower limb pain (HP_0012514),[],,
HP:0012514,Lower limb pain,"An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the leg.",Leg pain | Lower limb pain,Limb pain (HP_0009763),[],,
HP:0003733,Thigh hypertrophy,Muscle hypertrophy affecting the thighs.,Increased thigh size,Muscle hypertrophy of the lower extremities (HP_0008968),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""hypertrophic AND (characteristic of SOME hindlimb stylopod muscle) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME hypertrophic AND (characteristic of SOME hindlimb stylopod muscle) AND (has modifier SOME abnormal,hypertrophic and ( hindlimb stylopod muscle) and ( abnormal
HP:0000012,Urinary urgency,"Urge incontinence is the strong, sudden need to urinate.",Overactive bladder | Urgent micturition | Urinary urgency | Overactive bladder syndrome | Urgency frequency syndrome,Functional abnormality of the bladder (HP_0000009),[],,
HP:0032271,Extrapulmonary tuberculosis,"A type of tubercular infection located outside of the lung, which is the most common location of tuberculosis. There are two types of clinical manifestation of tuberculosis (TB) are pulmonary TB (PTB) and extrapulmonary TB (EPTB). The former is most common. EPTB refers to TB involving organs other than the lungs (e.g., pleura, lymph nodes, abdomen, genitourinary tract, skin, joints and bones, or meninges). A patient with both pulmonary and EPTB is classified as a case of PTB.",Extrapulmonary TB,Opportunistic bacterial infection (HP_0032260),[],,
HP:0000108,Renal corticomedullary cysts,The presence of multiple cysts at the border between the renal cortex and medulla.,Corticomedullary renal cysts | Renal corticomedullary cystic disease,Renal cyst (HP_0000107) | Abnormal renal cortex morphology (HP_0011035) | Abnormal renal medulla morphology (HP_0100957),[],,
HP:0000319,Smooth philtrum,"Flat skin surface, with no ridge formation in the central region of the upper lip between the nasal base and upper vermilion border.","Decreased depth of philtrum | Flat philtrum | Indistinct philtrum | Philtrum, smooth | Shallow philtrum | Simple philtrum",Abnormality of the philtrum (HP_0000288),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""flat AND (characteristic of SOME philtrum) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME flat AND (characteristic of SOME philtrum) AND (has modifier SOME abnormal,flat and ( philtrum) and ( abnormal
HP:0033589,Flatulence,Passage of excessive amounts of gas and the feeling of abdominal fullness and bloating.,,Abdominal symptom (HP_0011458),[],,
HP:0002027,Abdominal pain,"An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) and perceived to originate in the abdomen.",Abdominal pain | Pain in stomach | Stomach pain | Abdominal discomfort | Upset stomach,Abdominal symptom (HP_0011458) | Pain (HP_0012531),[],,
HP:0002014,Diarrhea,Abnormally increased frequency (usually defined as three or more) loose or watery bowel movements a day.,Diarrhea | Diarrhoea | Watery stool,Abdominal symptom (HP_0011458),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""quality of a liquid AND (characteristic of SOME feces) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME quality of a liquid AND (characteristic of SOME feces) AND (has modifier SOME abnormal,quality liquid and ( feces) and ( abnormal
HP:0012702,Tenesmus,"A repeated, painful urge to defecate without excreting stool.",,Abnormal large intestine physiology (HP_0012700),[],,
HP:0003419,Low back pain,"An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the lower back.",Lower back pain | Lumbago,Back pain (HP_0003418),[],,
HP:0000486,Strabismus,"A misalignment of the eyes so that the visual axes deviate from bifoveal fixation. The classification of strabismus may be based on a number of features including the relative position of the eyes, whether the deviation is latent or manifest, intermittent or constant, concomitant or otherwise and according to the age of onset and the relevance of any associated refractive error.",Cross-eyed | Squint | Squint eyes,Abnormal conjugate eye movement (HP_0000549),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""misaligned with AND (characteristic of SOME anatomical line between pupils) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME misaligned with AND (characteristic of SOME anatomical line between pupils) AND (has modifier SOME abnormal,misaligned with and ( anatomical line between pupils) and ( abnormal
HP:0011868,Sciatica,Pain in the lower back and hip radiating in the distribution of the sciatic nerve.,,Back pain (HP_0003418),[],,
HP:0000020,Urinary incontinence,Loss of the ability to control the urinary bladder leading to involuntary urination.,Bladder incontinence | Loss of bladder control,Functional abnormality of the bladder (HP_0000009) | Impaired continence (HP_0031064),[],,
HP:0000019,Urinary hesitancy,Difficulty in beginning the process of urination.,Difficulty with flow,Functional abnormality of the bladder (HP_0000009),[],,
HP:0000119,Abnormality of the genitourinary system,The presence of any abnormality of the genitourinary system.,Abnormality of the GU system | Genitourinary abnormality | Genitourinary tract anomalies | Genitourinary tract malformation | Urogenital abnormalities | Urogenital anomalies | Genitourinary disease | Genitourinary dysplasia,Phenotypic abnormality (HP_0000118),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""quality AND (characteristic of part of SOME genitourinary system) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME quality AND (characteristic of part of SOME genitourinary system) AND (has modifier SOME abnormal,quality and ( genitourinary system) and ( abnormal
HP:0012668,Vasovagal syncope,"A vasovagal episode or vasovagal syncope is the most common form of reflex syncope. Reflex syncope is a general term used to describe types of syncope resulting from a failure in autoregulation of blood pressure, and ultimately, in cerebral perfusion pressure resulting in transient loss of consciousness. The mechanisms responsible for this are complex and involve both depression of cardiac output as well as a decrease in vascular tone.",Neurocardiogenic syncope | Reflex syncope | Situational syncope | Vasovagal episode,Syncope (HP_0001279),[],,
HP:0001279,Syncope,"Syncope is a syndrome in which loss of consciousness is of relatively sudden onset, temporary (usually less than 1 to 2 minutes), self-terminating, and of usually rapid recovery. Syncope leads to a generalized weakness of muscles with loss of postural tone, inability to stand upright, and loss of consciousness. Once the patient is in a horizontal position, blood flow to the brain is no longer hindered by gravitation and consciousness is regained. Unconsciousness usually lasts for seconds to minutes. Headache and drowsiness (which usually follow seizures) do not follow a syncopal attack. Syncope results from a sudden impairment of brain metabolism usually due to a reduction in cerebral blood flow.",Fainting spell,Abnormal cardiovascular system physiology (HP_0011025),[],,
HP:0034267,Pelvic pain,"Pain perceived in the area of the pelvis, the lower part of the abdomen located between the hip bones.",Pain in the pelvis,Pain (HP_0012531),[],,
HP:0001324,Muscle weakness,Reduced strength of muscles.,Muscle weakness | Muscular weakness,Abnormal muscle physiology (HP_0011804),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""decreased strength AND (characteristic of SOME muscle organ) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME decreased strength AND (characteristic of SOME muscle organ) AND (has modifier SOME abnormal,decreased strength and ( muscle organ) and ( abnormal
HP:0025032,Abnormality of digestive system physiology,A functional anomaly of the digestive system.,,Abnormality of the digestive system (HP_0025031),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""functionality AND (characteristic of SOME digestive system) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME functionality AND (characteristic of SOME digestive system) AND (has modifier SOME abnormal,functionality and ( digestive system) and ( abnormal
HP:0100749,Chest pain,"An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the chest.",Chest pain | Thoracic pain | Chest discomfort,Pain (HP_0012531),[],,
HP:0002315,Headache,"Cephalgia, or pain sensed in various parts of the head, not confined to the area of distribution of any nerve.",Headache | Headaches,Abnormal nervous system physiology (HP_0012638),[],,
HP:0002076,Migraine,Migraine is a chronic neurological disorder characterized by episodic attacks of headache and associated symptoms.,Intermittent migraine headaches | Migraine | Migraine headache | Migraine headaches,Headache (HP_0002315),[],,
HP:0012531,Pain,"An unpleasant sensory and emotional experience associated with actual or potential tissue damage, or described in terms of such damage.",Pain,Constitutional symptom (HP_0025142),[],,
